p,contrib,C,maxterm
13183,68,115,16
13187,66,115,24
13217,35,57,8
13219,56,97,12
13229,100,171,48
13241,49,87,12
13249,49,83,16
13259,106,177,48
13267,48,77,12
13291,42,75,12
13297,61,109,16
13309,66,119,16
13313,47,83,16
13327,77,131,30
13331,65,109,24
13337,81,137,32
13339,63,107,24
13367,47,85,16
13381,39,63,8
13397,78,137,32
13399,53,95,24
13411,48,87,12
13417,49,85,16
13421,39,67,8
13441,57,95,16
13451,64,113,24
13457,34,61,8
13463,99,171,48
13469,47,85,16
13477,40,69,8
13487,63,107,20
13499,111,189,48
13513,65,103,16
13523,88,147,36
13537,52,83,8
13553,48,83,16
13567,67,115,18
13577,63,107,16
13591,51,81,8
13597,63,101,18
13613,42,75,10
13619,59,113,24
13627,56,97,16
13633,45,81,16
13649,101,177,48
13669,51,91,18
13679,123,211,60
13681,33,57,8
13687,63,111,16
13691,67,109,24
13693,55,95,16
13697,40,73,12
13709,47,83,16
13711,48,83,10
13721,45,77,8
13723,61,105,18
13729,46,75,8
13751,63,117,24
13757,56,91,14
13759,82,139,28
13763,68,115,24
13781,48,77,8
13789,53,95,16
13799,111,185,48
13807,39,65,10
13829,51,93,16
13831,81,141,32
13841,44,77,12
13859,146,245,72
13873,39,71,16
13877,50,85,16
13879,49,91,16
13883,68,115,24
13901,58,101,16
13903,71,127,20
13907,72,121,24
13913,46,89,12
13921,47,81,24
13931,73,127,30
13933,46,75,8
13963,58,99,24
13967,81,137,30
13997,46,85,20
13999,101,169,40
14009,51,91,16
14011,55,97,12
14029,49,83,16
14033,49,87,11
14051,37,67,12
14057,69,121,24
14071,38,67,8
14081,35,57,8
14083,51,87,12
14087,54,95,16
14107,54,91,13
14143,85,151,28
14149,49,89,12
14153,51,97,16
14159,93,163,40
14173,62,113,30
14177,52,83,16
14197,45,77,12
14207,87,153,32
14221,42,73,8
14243,48,87,16
14249,74,127,32
14251,45,81,12
14281,32,53,12
14293,48,75,8
14303,69,113,24
14321,77,131,32
14323,45,81,12
14327,59,111,24
14341,48,83,8
14347,57,103,12
14369,48,83,16
14387,61,109,24
14389,54,95,16
14401,33,55,8
14407,54,85,8
14411,50,91,12
14419,65,115,24
14423,50,89,16
14431,61,107,24
14437,60,97,12
14447,86,149,40
14449,61,105,18
14461,51,89,8
14479,57,101,20
14489,96,165,48
14503,71,121,24
14519,104,187,48
14533,60,111,24
14537,42,75,8
14543,74,127,30
14549,79,135,24
14551,76,131,24
14557,54,99,24
14561,37,65,12
14563,54,85,12
14591,89,143,36
14593,55,91,16
14621,34,61,8
14627,67,117,24
14629,84,139,32
14633,55,89,16
14639,85,149,40
14653,42,71,8
14657,56,97,16
14669,61,115,24
14683,55,95,16
14699,109,195,54
14713,47,85,16
14717,66,111,16
14723,59,107,18
14731,56,93,12
14737,52,87,12
14741,91,165,40
14747,51,95,12
14753,51,91,12
14759,106,187,48
14767,68,115,20
14771,47,83,12
14779,51,91,14
14783,111,193,56
14797,58,97,14
14813,49,87,12
14821,41,67,12
14827,44,75,12
14831,79,141,30
14843,47,83,12
14851,48,77,12
14867,84,143,36
14869,52,95,12
14879,96,173,48
14887,39,67,8
14891,73,119,24
14897,54,93,16
14923,74,127,24
14929,51,87,16
14939,84,151,36
14947,58,103,12
14951,74,131,32
14957,63,111,20
14969,62,107,16
14983,52,91,20
15013,50,93,32
15017,39,63,8
15031,42,69,8
15053,52,91,16
15061,41,67,8
15073,56,93,18
15077,61,105,16
15083,64,109,18
15091,74,131,24
15101,47,87,12
15107,41,73,12
15121,32,53,6
15131,64,109,24
15137,52,89,18
15139,47,81,12
15149,68,111,24
15161,65,113,24
15173,51,93,16
15187,59,95,12
15193,49,87,8
15199,82,147,36
15217,49,87,12
15227,78,127,30
15233,34,63,8
15241,41,63,6
15259,69,117,24
15263,88,155,36
15269,48,87,16
15271,60,101,16
15277,52,91,10
15287,103,177,48
15289,44,85,16
15299,110,193,54
15307,59,103,16
15313,52,89,16
15319,46,81,16
15329,71,129,32
15331,43,75,8
15349,60,105,16
15359,95,159,44
15361,56,91,8
15373,40,67,16
15377,56,99,16
15383,64,109,16
15391,70,121,24
15401,52,89,16
15413,60,99,16
15427,80,135,24
15439,61,107,20
15443,105,173,48
15451,55,91,12
15461,55,91,12
15467,50,93,16
15473,50,87,8
15493,61,99,8
15497,83,145,32
15511,48,83,16
15527,48,81,16
15541,49,87,12
15551,101,177,42
15559,71,127,24
15569,63,113,24
15581,62,103,24
15583,52,85,12
15601,38,67,8
15607,46,81,12
15619,73,129,24
15629,55,99,16
15641,60,105,24
15643,46,79,16
15647,66,119,24
15649,56,101,12
15661,46,77,10
15667,33,53,6
15671,57,103,16
15679,95,161,42
15683,50,89,12
15727,57,103,12
15731,82,139,36
15733,45,77,8
15737,69,113,16
15739,54,103,16
15749,105,183,48
15761,46,81,16
15767,82,143,32
15773,67,117,16
15787,51,83,9
15791,95,169,40
15797,56,93,12
15803,56,103,18
15809,80,137,32
15817,60,93,12
15823,74,127,20
15859,75,127,24
15877,43,71,8
15881,45,73,9
15887,58,99,20
15889,52,95,16
15901,46,79,16
15907,60,97,12
15913,62,95,8
15919,60,109,20
15923,54,97,18
15937,59,103,24
15959,130,225,64
15971,64,113,24
15973,61,101,18
15991,36,67,8
16001,60,111,24
16007,80,137,32
16033,42,69,8
16057,55,101,16
16061,46,83,16
16063,76,135,32
16067,64,109,24
16069,47,83,12
16073,67,111,24
16087,63,101,8
16091,71,129,24
16097,48,85,18
16103,78,133,32
16111,76,125,20
16127,110,191,54
16139,61,101,24
16141,42,69,8
16183,66,127,24
16187,73,119,24
16189,53,97,14
16193,39,69,9
16217,63,109,24
16223,98,167,36
16229,47,85,16
16231,42,75,8
16249,63,107,20
16253,83,145,32
16267,71,123,18
16273,54,93,24
16301,85,145,32
16319,116,203,56
16333,65,109,24
16339,70,119,24
16349,73,129,24
16361,58,97,20
16363,32,59,8
16369,38,71,12
16381,28,47,8
16411,57,97,12
16417,39,65,8
16421,81,133,32
16427,53,93,18
16433,71,123,24
16447,63,105,14
16451,54,95,18
16453,51,89,12
16477,68,113,16
16481,62,103,16
16487,67,115,24
16493,32,61,8
16519,81,139,32
16529,81,139,32
16547,65,117,24
16553,66,117,16
16561,48,87,18
16567,61,103,16
16573,65,113,24
16603,60,109,20
16607,76,133,24
16619,67,119,24
16631,131,221,64
16633,40,65,8
16649,86,147,36
16651,53,93,16
16657,42,73,18
16661,33,59,8
16673,63,111,16
16691,72,121,24
16693,59,103,24
16699,63,113,18
16703,92,159,42
16729,62,111,18
16741,49,81,16
16747,69,105,12
16759,54,103,16
16763,75,133,24
16787,53,91,12
16811,57,103,18
16823,49,93,16
16829,104,181,48
16831,51,93,14
16843,53,85,12
16871,84,147,32
16879,64,111,20
16883,84,143,36
16889,51,93,16
16901,54,97,16
16903,49,91,24
16921,29,41,4
16927,71,127,20
16931,76,121,24
16937,53,97,18
16943,62,105,20
16963,62,111,24
16979,60,113,24
16981,64,109,16
16987,62,101,12
16993,56,95,16
17011,46,81,8
17021,45,81,16
17027,86,145,36
17029,47,89,16
17033,60,97,16
17041,43,73,16
17047,49,87,12
17053,37,69,12
17077,67,109,16
17093,86,147,32
17099,110,191,54
17107,78,137,24
17117,65,113,16
17123,49,83,12
17137,54,95,16
17159,128,223,64
17167,78,129,20
17183,58,107,24
17189,64,117,24
17191,57,99,16
17203,74,131,24
17207,53,91,24
17209,38,65,8
17231,52,95,20
17239,51,91,16
17257,50,79,8
17291,66,113,24
17293,48,77,10
17299,58,101,18
17317,45,79,9
17321,55,93,18
17327,87,149,30
17333,71,117,20
17341,60,107,16
17351,67,121,24
17359,94,159,40
17377,45,79,12
17383,65,117,16
17387,111,191,48
17389,59,105,16
17393,53,91,16
17401,50,85,16
17417,36,65,12
17419,82,139,24
17431,44,77,12
17443,58,101,18
17449,48,83,12
17467,60,99,13
17471,119,197,56
17477,49,89,16
17483,65,117,24
17489,77,131,32
17491,50,85,16
17497,51,89,14
17509,67,113,16
17519,91,159,40
17539,60,105,12
17551,39,69,12
17569,61,105,16
17573,66,119,16
17579,53,95,24
17581,45,73,8
17597,63,111,21
17599,95,161,42
17609,63,111,16
17623,50,89,16
17627,73,127,24
17657,64,109,20
17659,54,97,12
17669,77,135,32
17681,54,91,16
17683,41,75,16
17707,65,113,16
17713,47,73,8
17729,71,129,24
17737,68,111,12
17747,92,159,36
17749,60,107,16
17761,51,85,8
17783,107,179,48
17789,51,89,16
17791,59,101,16
17807,93,159,40
17827,44,77,12
17837,37,69,12
17839,60,105,20
17851,36,67,10
17863,76,137,32
17881,36,59,6
17891,90,147,36
17903,61,101,20
17909,69,119,24
17911,49,85,8
17921,53,87,16
17923,43,77,12
17929,62,105,16
17939,111,185,48
17957,65,97,16
17959,58,95,16
17971,46,83,8
17977,61,99,12
17981,70,123,24
17987,43,77,12
17989,64,103,16
18013,41,73,10
18041,52,83,16
18043,53,89,12
18047,79,139,32
18049,65,111,18
18059,102,173,48
18061,40,71,10
18077,60,105,16
18089,85,153,32
18097,42,67,8
18119,80,141,32
18121,59,101,16
18127,58,103,20
18131,34,65,12
18133,67,111,24
18143,128,219,60
18149,83,141,36
18169,55,99,16
18181,50,81,16
18191,66,117,20
18199,104,183,48
18211,56,97,12
18217,40,67,6
18223,76,139,21
18229,44,79,8
18233,49,87,12
18251,81,135,36
18253,40,65,8
18257,55,93,16
18269,110,189,48
18287,86,147,30
18289,69,115,16
18301,47,83,16
18307,48,85,12
18311,86,149,32
18313,53,93,24
18329,85,145,32
18341,44,79,12
18353,85,147,32
18367,81,135,28
18371,49,83,12
18379,52,87,12
18397,48,79,18
18401,46,75,8
18413,81,139,32
18427,71,111,12
18433,46,77,8
18439,54,99,16
18443,78,137,24
18451,40,71,12
18457,56,97,12
18461,64,107,16
18481,36,57,8
18493,54,95,16
18503,67,115,24
18517,53,87,8
18521,91,159,32
18523,67,117,24
18539,74,137,36
18541,44,71,8
18553,51,77,8
18583,76,131,24
18587,52,87,12
18593,43,75,12
18617,66,111,18
18637,57,93,12
18661,62,99,16
18671,61,107,20
18679,53,97,16
18691,50,87,12
18701,47,87,12
18713,45,83,12
18719,146,253,72
18731,66,117,24
18743,80,145,32
18749,68,123,24
18757,64,107,16
18773,67,115,24
18787,72,125,24
18793,42,71,16
18797,71,115,16
18803,42,71,12
18839,76,133,32
18859,75,127,24
18869,87,147,32
18899,142,251,72
18911,64,113,24
18913,52,91,16
18917,59,101,16
18919,85,149,32
18947,51,83,12
18959,92,163,40
18973,63,109,24
18979,76,133,24
19001,46,79,9
19009,47,75,8
19013,48,75,8
19031,91,153,32
19037,68,119,24
19051,59,103,12
19069,50,89,12
19073,68,121,24
19079,103,175,48
19081,53,91,16
19087,62,113,16
19121,39,69,8
19139,101,171,48
19141,46,75,8
19157,64,109,16
19163,43,79,12
19181,63,103,16
19183,72,119,20
19207,68,117,20
19211,53,87,12
19213,60,103,24
19219,71,117,18
19231,41,75,12
19237,67,109,16
19249,84,145,32
19259,82,147,36
19267,44,75,8
19273,57,97,12
19289,68,119,16
19301,57,99,16
19309,55,95,10
19319,126,219,64
19333,45,73,8
19373,51,89,10
19379,108,187,48
19381,53,91,16
19387,71,113,12
19391,73,125,28
19403,113,191,54
19417,52,93,16
19421,63,113,24
19423,57,107,24
19427,51,89,12
19429,65,115,16
19433,73,125,16
19441,27,41,5
19447,80,137,32
19457,72,127,24
19463,55,97,16
19469,79,135,32
19471,44,77,10
19477,56,87,8
19483,54,89,12
19489,48,81,8
19501,56,101,12
19507,47,77,8
19531,48,83,12
19541,53,87,8
19543,68,115,16
19553,35,65,8
19559,69,127,32
19571,70,125,24
19577,65,109,16
19583,105,179,48
19597,64,111,21
19603,55,95,18
19609,54,91,16
19661,66,107,16
19681,55,91,10
19687,66,109,16
19697,67,115,24
19699,67,117,18
19709,87,151,32
19717,49,87,16
19727,76,127,30
19739,104,179,48
19751,56,103,16
19753,68,115,16
19759,99,173,40
19763,81,137,30
19777,68,117,16
19793,43,79,10
19801,43,71,16
19813,50,79,8
19819,51,89,12
19841,52,89,14
19843,84,145,30
19853,53,95,12
19861,45,73,8
19867,43,81,12
19889,102,171,48
19891,49,79,8
19913,43,77,8
19919,89,157,40
19927,62,109,16
19937,51,87,8
19949,106,187,48
19961,55,99,12
19963,82,141,24
19973,53,93,12
19979,109,187,48
19991,110,187,48
19993,40,75,16
19997,70,127,24
20011,32,59,8
20021,52,87,16
20023,51,91,18
20029,59,95,8
20047,68,115,20
20051,55,97,18
20063,110,185,48
20071,53,93,16
20089,78,131,24
20101,45,73,12
20107,53,91,12
20113,60,109,16
20117,58,105,16
20123,96,163,36
20129,76,133,32
20143,52,97,16
20147,68,119,24
20149,76,129,24
20161,39,73,16
20173,64,113,16
20177,69,113,24
20183,66,115,24
20201,75,125,32
20219,64,115,24
20231,67,117,24
20233,55,93,16
20249,98,167,40
20261,60,103,16
20269,47,83,8
20287,50,87,14
20297,71,123,18
20323,52,91,12
20327,112,195,48
20333,50,89,12
20341,37,61,8
20347,60,115,24
20353,46,79,16
20357,79,139,32
20359,55,95,16
20369,74,135,32
20389,45,77,8
20393,80,131,24
20399,126,213,60
20407,46,79,10
20411,97,169,42
20431,50,87,12
20441,43,73,8
20443,66,111,16
20477,42,71,13
20479,78,135,26
20483,53,95,18
20507,46,81,12
20509,61,107,16
20521,28,43,8
20533,68,111,12
20543,74,123,28
20549,66,115,24
20551,56,103,16
20563,66,107,12
20593,34,61,8
20599,74,133,24
20611,58,89,8
20627,68,119,24
20639,107,179,48
20641,46,73,8
20663,103,183,48
20681,55,101,16
20693,49,83,8
20707,64,111,16
20717,55,99,20
20719,102,171,40
20731,64,107,12
20743,54,97,12
20747,101,171,48
20749,56,97,16
20753,54,89,12
20759,74,133,32
20771,55,97,18
20773,75,125,16
20789,136,231,64
20807,88,149,36
20809,35,65,8
20849,71,123,24
20857,46,79,12
20873,73,127,24
20879,122,217,60
20887,58,101,16
20897,79,135,24
20899,91,153,36
20903,82,141,32
20921,63,107,16
20929,75,127,32
20939,70,125,24
20947,58,89,8
20959,76,129,24
20963,48,87,12
20981,58,97,16
20983,60,101,16
21001,40,63,6
21011,66,117,24
21013,59,105,16
21017,61,103,16
21019,63,115,24
21023,89,157,36
21031,63,105,16
21059,125,209,60
21061,49,85,16
21067,65,103,12
21089,77,135,32
21101,47,77,12
21107,60,107,12
21121,32,51,8
21139,76,135,24
21143,52,91,16
21149,92,157,36
21157,65,103,12
21163,81,145,24
21169,61,99,16
21179,66,115,24
21187,49,79,8
21191,51,91,16
21193,59,95,16
21211,38,61,10
21221,63,111,20
21227,80,131,24
21247,73,125,18
21269,52,95,16
21277,55,95,24
21283,62,111,24
21313,58,105,24
21317,86,149,32
21319,88,149,32
21323,42,75,12
21341,51,83,12
21347,63,111,18
21377,49,85,16
21379,46,85,12
21383,114,201,48
21391,54,95,20
21397,57,95,12
21401,71,117,24
21407,73,131,24
21419,141,243,72
21433,45,77,8
21467,53,89,12
21481,58,105,24
21487,74,129,20
21491,60,107,24
21493,57,93,8
21499,68,121,24
21503,107,189,44
21517,61,101,16
21521,62,107,16
21523,65,113,24
21529,38,61,8
21557,59,99,24
21559,112,187,48
21563,60,107,18
21569,56,103,16
21577,51,81,12
21587,69,121,24
21589,60,101,16
21599,146,261,72
21601,43,75,8
21611,46,75,12
21613,49,85,16
21617,56,95,12
21647,91,153,40
21649,54,91,12
21661,50,83,12
21673,34,57,18
21683,67,111,24
21701,38,63,8
21713,88,155,32
21727,71,123,24
21737,41,63,8
21739,41,75,12
21751,49,85,10
21757,67,119,18
21767,56,97,16
21773,69,117,16
21787,63,101,12
21799,76,137,24
21803,68,117,24
21817,35,59,8
21821,55,95,14
21839,160,273,80
21841,25,43,8
21851,55,101,18
21859,62,107,12
21863,60,105,16
21871,48,83,10
21881,48,85,16
21893,68,119,16
21911,75,133,32
21929,78,135,32
21937,62,107,8
21943,76,141,32
21961,47,77,8
21977,88,155,32
21991,52,89,8
21997,63,111,20
22003,51,89,16
22013,63,115,16
22027,63,103,12
22031,115,199,50
22037,55,95,16
22039,91,155,32
22051,51,81,12
22063,66,113,20
22067,58,99,18
22073,71,117,16
22079,119,203,56
22091,66,113,24
22093,51,89,12
22109,78,137,32
22111,65,117,24
22123,59,101,16
22129,42,77,8
22133,93,157,32
22147,72,127,18
22153,65,113,16
22157,45,79,12
22159,65,115,20
22171,57,99,16
22189,60,105,16
22193,63,113,20
22229,116,197,48
22247,84,143,32
22259,107,187,48
22271,92,161,36
22273,75,137,30
22277,53,87,16
22279,51,87,16
22283,63,107,18
22291,48,83,8
22303,67,117,24
22307,84,147,36
22343,105,187,48
22349,78,137,24
22367,63,105,24
22369,40,73,12
22381,52,85,12
22391,61,109,24
22397,61,109,24
22409,79,133,32
22433,49,83,9
22441,39,69,12
22447,70,113,20
22453,57,93,12
22469,82,143,32
22481,55,95,12
22483,71,117,24
22501,42,67,8
22511,94,159,40
22531,56,103,16
22541,64,109,24
22543,52,91,16
22549,74,121,24
22567,100,163,32
22571,108,185,48
22573,51,93,24
22613,53,85,8
22619,102,173,48
22621,41,71,12
22637,87,145,32
22639,66,113,20
22643,94,161,36
22651,58,105,12
22669,51,91,12
22679,158,275,80
22691,69,115,24
22697,74,127,24
22699,70,123,18
22709,51,93,16
22717,51,85,14
22721,59,105,16
22727,59,103,16
22739,71,123,24
22741,64,103,18
22751,79,141,36
22769,102,179,48
22777,46,85,12
22783,78,139,24
22787,71,127,24
22807,38,61,8
22811,51,91,12
22817,37,65,12
22853,51,93,16
22859,86,151,36
22861,45,75,16
22871,69,117,16
22877,88,151,24
22901,63,101,16
22907,82,131,24
22921,60,97,10
22937,45,77,12
22943,70,125,24
22961,56,89,16
22963,56,91,12
22973,59,101,16
22993,47,85,24
23003,79,133,30
23011,54,89,12
23017,60,93,8
23021,62,107,16
23027,72,125,24
23029,73,123,24
23039,131,219,60
23041,40,61,8
23053,69,111,16
23057,76,131,32
23059,40,71,12
23063,80,139,24
23071,71,123,24
23081,58,101,12
23087,95,159,40
23099,145,251,72
23117,55,95,15
23131,48,77,8
23143,61,97,16
23159,82,145,32
23167,60,105,16
23173,59,99,18
23189,46,85,16
23197,58,109,18
23201,50,89,16
23203,61,111,32
23209,60,101,16
23227,48,85,12
23251,40,75,12
23269,49,83,16
23279,83,147,40
23291,57,97,18
23293,56,95,16
23297,52,89,16
23311,63,105,20
23321,74,127,24
23327,98,165,42
23333,50,79,8
23339,70,123,24
23357,68,121,16
23369,89,149,32
23371,47,91,18
23399,144,251,72
23417,58,97,12
23431,69,115,16
23447,52,93,16
23459,110,181,48
23473,55,93,12
23497,56,97,12
23509,49,81,8
23531,71,119,24
23537,52,89,12
23539,79,139,24
23549,64,113,24
23557,52,87,16
23561,106,179,48
23563,39,65,12
23567,67,123,20
23581,48,79,12
23593,62,111,24
23599,72,121,30
23603,70,123,24
23609,44,79,16
23623,69,123,32
23627,72,119,24
23629,67,111,16
23633,72,119,24
23663,91,157,40
23669,73,123,24
23671,54,95,16
23677,65,103,16
23687,106,185,48
23689,61,103,16
23719,54,91,16
23741,52,95,14
23743,78,135,28
23747,68,117,12
23753,61,99,16
23761,43,65,6
23767,45,79,12
23773,49,81,12
23789,81,137,32
23801,44,77,8
23813,99,167,36
23819,66,115,24
23827,81,135,24
23831,73,125,24
23833,59,101,16
23857,62,99,12
23869,78,143,32
23873,57,95,16
23879,82,137,32
23887,64,99,10
23893,66,117,20
23899,73,127,18
23909,50,91,16
23911,79,131,24
23917,60,111,20
23929,57,89,8
23957,75,131,24
23971,61,103,12
23977,60,93,12
23981,59,101,16
23993,76,127,24
24001,50,91,16
24007,59,101,10
24019,61,107,16
24023,132,229,64
24029,82,141,32
24043,51,87,16
24049,70,113,24
24061,46,75,10
24071,86,147,32
24077,51,93,20
24083,71,123,24
24091,41,71,12
24097,72,109,8
24103,59,105,16
24107,84,145,36
24109,53,99,16
24113,49,87,16
24121,53,93,16
24133,58,95,8
24137,68,119,20
24151,49,87,8
24169,46,77,8
24179,102,175,48
24181,46,75,8
24197,64,107,18
24203,56,101,12
24223,65,117,24
24229,54,93,8
24239,102,181,40
24247,66,111,16
24251,85,139,24
24281,68,121,24
24317,78,141,24
24329,61,107,16
24337,56,89,16
24359,127,219,64
24371,63,113,18
24373,59,109,20
24379,76,135,24
24391,55,89,8
24407,80,141,32
24413,64,111,16
24419,105,177,48
24421,48,81,8
24439,84,143,32
24443,91,155,36
24469,54,97,16
24473,50,93,12
24481,41,59,4
24499,96,157,36
24509,87,145,32
24517,65,111,16
24527,94,165,40
24533,77,125,24
24547,70,123,18
24551,104,175,48
24571,25,45,6
24593,62,105,12
24611,65,115,24
24623,120,205,50
24631,60,111,24
24659,89,151,36
24671,84,141,24
24677,55,103,16
24683,76,133,36
24691,48,79,12
24697,51,85,16
24709,66,105,16
24733,69,115,16
24749,114,205,48
24763,77,127,16
24767,97,167,42
24781,30,53,8
24793,76,141,24
24799,93,163,36
24809,51,89,16
24821,72,123,24
24841,49,81,18
24847,62,111,12
24851,71,119,24
24859,63,113,24
24877,59,97,10
24889,51,89,16
24907,64,115,12
24917,54,95,16
24919,91,159,32
24923,75,127,24
24943,55,97,16
24953,59,103,16
24967,47,87,16
24971,46,85,12
24977,59,91,16
24979,61,99,12
24989,115,189,48
25013,68,117,16
25031,83,135,32
25033,35,59,8
25037,73,129,24
25057,64,105,16
25073,70,129,24
25087,83,139,30
25097,68,107,16
25111,58,101,16
25117,48,83,12
25121,71,117,16
25127,74,127,24
25147,48,85,8
25153,62,103,24
25163,68,117,24
25169,55,99,16
25171,82,137,24
25183,64,113,16
25189,62,115,16
25219,75,125,24
25229,67,123,24
25237,52,83,8
25243,53,99,32
25247,67,119,24
25253,76,131,24
25261,48,81,12
25301,38,65,8
25303,47,87,16
25307,101,163,36
25309,55,99,16
25321,42,75,8
25339,73,127,24
25343,123,215,54
25349,90,151,36
25357,70,109,10
25367,80,139,32
25373,63,113,16
25391,75,127,30
25409,113,193,48
25411,45,77,8
25423,76,133,20
25439,106,181,48
25447,69,107,8
25453,68,111,16
25457,57,97,12
25463,59,101,16
25469,68,121,24
25471,62,105,16
25523,63,103,18
25537,59,93,8
25541,90,153,32
25561,38,65,12
25577,90,149,36
25579,49,87,12
25583,102,175,40
25589,60,103,16
25601,63,99,16
25603,62,107,12
25609,53,89,16
25621,53,87,16
25633,51,91,12
25639,66,119,24
25643,57,97,12
25657,49,73,6
25667,89,155,36
25673,63,113,16
25679,94,159,40
25693,59,103,12
25703,139,237,64
25717,67,113,16
25733,53,89,12
25741,45,71,8
25747,62,101,12
25759,105,183,48
25763,66,111,24
25771,70,119,12
25793,53,93,16
25799,111,191,48
25801,67,111,16
25819,55,97,12
25841,51,87,16
25847,81,135,24
25849,74,127,24
25867,61,103,14
25873,55,95,24
25889,51,95,16
25903,53,93,16
25913,67,123,16
25919,143,253,70
25931,47,83,16
25933,61,107,32
25939,51,87,12
25943,83,137,32
25951,56,93,12
25969,82,131,24
25981,51,85,16
25997,63,111,20
25999,94,169,40
26003,73,121,24
26017,49,83,18
26021,56,83,8
26029,63,99,16
26041,47,71,8
26053,52,91,16
26083,54,89,16
26099,120,205,54
26107,62,99,12
26111,93,159,40
26113,45,73,8
26119,59,105,16
26141,57,97,12
26153,47,85,12
26161,63,105,20
26171,59,103,18
26177,61,107,24
26183,55,95,16
26189,81,145,32
26203,46,79,17
26209,35,63,8
26227,50,87,12
26237,48,87,16
26249,91,153,40
26251,39,65,6
26261,54,95,12
26263,77,135,24
26267,81,137,24
26293,54,85,8
26297,67,119,16
26309,66,123,16
26317,65,107,20
26321,54,89,16
26339,61,105,24
26347,55,97,12
26357,67,105,16
26371,48,79,12
26387,72,123,18
26393,61,101,16
26399,147,251,72
26407,45,77,8
26417,85,141,32
26423,71,133,24
26431,78,139,28
26437,57,91,8
26449,71,123,18
26459,147,249,72
26479,72,127,20
26489,54,93,16
26497,53,87,12
26501,56,97,16
26513,65,109,16
26539,65,111,12
26557,65,117,14
26561,69,125,16
26573,56,93,16
26591,68,121,24
26597,96,165,32
26627,60,105,24
26633,65,109,16
26641,60,99,16
26647,77,127,20
26669,88,147,32
26681,36,61,8
26683,56,97,12
26687,85,143,28
26693,71,117,12
26699,95,163,36
26701,65,109,16
26711,105,183,48
26713,60,105,16
26717,69,111,16
26723,76,131,24
26729,103,179,48
26731,56,93,16
26737,61,99,12
26759,79,139,32
26777,53,89,12
26783,112,193,48
26801,34,61,12
26813,58,99,16
26821,39,61,8
26833,61,93,8
26839,90,153,32
26849,68,119,24
26861,83,143,24
26863,74,133,20
26879,146,251,72
26881,50,87,12
26891,78,137,30
26893,59,109,16
26903,84,143,32
26921,61,109,16
26927,128,213,60
26947,45,81,18
26951,49,85,16
26953,57,83,12
26959,84,147,20
26981,43,81,12
26987,67,113,24
26993,64,107,16
27011,57,99,12
27017,85,143,24
27031,48,81,16
27043,64,103,12
27059,109,189,48
27061,46,79,12
27067,56,95,12
27073,40,65,18
27077,52,89,8
27091,49,87,12
27103,99,171,36
27107,67,111,24
27109,63,99,8
27127,42,75,12
27143,108,187,48
27179,89,163,36
27191,87,149,32
27197,72,121,21
27211,53,87,14
27239,81,137,32
27241,64,99,8
27253,64,107,16
27259,79,147,24
27271,47,87,16
27277,64,109,20
27281,43,69,8
27283,73,119,16
27299,151,255,72
27329,49,85,16
27337,63,99,8
27361,42,67,8
27367,70,121,16
27397,76,125,16
27407,51,91,20
27409,40,71,12
27427,55,87,8
27431,90,161,32
27437,68,115,20
27449,97,161,36
27457,47,79,12
27479,86,149,32
27481,59,95,16
27487,72,129,24
27509,79,137,32
27527,104,163,32
27529,51,97,24
27539,125,211,60
27541,49,77,8
27551,114,193,48
27581,42,69,8
27583,74,121,14
27611,90,153,36
27617,51,81,10
27631,80,131,20
27647,106,183,44
27653,62,99,16
27673,72,125,24
27689,90,151,32
27691,72,127,24
27697,52,87,8
27701,91,147,28
27733,62,101,12
27737,77,129,24
27739,64,117,24
27743,85,149,36
27749,90,145,32
27751,51,89,12
27763,53,91,12
27767,86,139,32
27773,61,113,16
27779,68,119,24
27791,86,147,30
27793,61,103,16
27799,79,133,24
27803,79,137,24
27809,85,149,32
27817,50,89,12
27823,80,141,24
27827,60,107,18
27847,55,87,12
27851,69,119,24
27883,62,107,24
27893,56,95,9
27901,46,77,8
27917,83,143,32
27919,61,113,20
27941,57,93,12
27943,79,137,24
27947,75,131,24
27953,50,87,12
27961,73,123,16
27967,92,149,28
27983,94,165,40
27997,66,119,24
28001,49,83,16
28019,68,117,24
28027,101,169,36
28031,97,161,32
28051,39,71,8
28057,49,79,12
28069,64,113,16
28081,49,87,16
28087,42,67,8
28097,65,119,24
28099,67,119,18
28109,55,97,16
28111,66,109,20
28123,82,131,18
28151,110,191,48
28163,54,93,12
28181,84,143,32
28183,57,103,16
28201,50,91,16
28211,56,101,16
28219,71,125,24
28229,60,97,16
28277,53,91,16
28279,82,143,32
28283,49,87,12
28289,92,151,32
28297,57,93,8
28307,68,115,24
28309,61,103,16
28319,113,195,48
28349,129,217,60
28351,59,97,14
28387,67,109,12
28393,39,65,12
28403,71,127,24
28409,58,101,16
28411,59,105,24
28429,53,91,16
28433,62,111,16
28439,107,179,48
28447,78,133,24
28463,58,107,20
28477,55,93,14
28493,54,99,12
28499,110,181,48
28513,54,87,8
28517,79,137,24
28537,57,99,16
28541,71,121,16
28547,93,159,36
28549,57,99,12
28559,158,269,80
28571,49,89,12
28573,63,115,18
28579,54,91,12
28591,58,103,10
28597,70,113,24
28603,36,57,8
28607,80,145,28
28619,116,197,48
28621,44,77,16
28627,57,95,12
28631,62,107,16
28643,110,191,48
28649,76,133,24
28657,60,103,16
28661,61,103,16
