p,contrib,C,maxterm
2557,30,51,10
2579,60,101,24
2591,61,111,30
2593,33,55,8
2609,53,93,24
2617,45,85,16
2621,47,83,16
2633,29,55,8
2647,25,49,8
2657,27,49,12
2659,55,99,24
2663,58,103,24
2671,36,67,12
2677,44,75,8
2683,43,77,12
2687,69,121,32
2689,36,65,12
2693,40,71,12
2699,71,131,36
2707,33,61,12
2711,43,75,16
2713,39,67,8
2719,55,95,24
2729,62,115,32
2731,24,45,8
2741,31,55,8
2749,53,95,16
2753,53,97,20
2767,44,75,10
2777,32,57,8
2789,48,91,24
2791,34,63,12
2797,30,55,14
2801,30,55,8
2803,41,73,16
2819,52,95,24
2833,41,75,20
2837,48,83,16
2843,42,77,18
2851,39,71,12
2857,26,49,12
2861,45,79,16
2879,84,145,42
2887,47,81,12
2897,58,105,24
2903,56,103,24
2909,44,83,16
2917,24,45,8
2927,42,71,20
2939,71,129,36
2953,32,61,8
2957,50,89,16
2963,52,93,24
2969,66,115,32
2971,21,39,6
2999,67,121,32
3001,41,73,16
3011,38,67,12
3019,42,75,12
3023,81,145,40
3037,47,85,12
3041,46,83,18
3049,40,71,12
3061,25,41,4
3067,44,79,12
3079,68,121,32
3083,33,55,12
3089,36,65,16
3109,36,65,8
3119,76,139,40
3121,29,55,8
3137,27,49,8
3163,41,71,12
3167,75,129,36
3169,30,53,8
3181,33,53,8
3187,38,65,8
3191,68,123,32
3203,46,79,18
3209,48,87,16
3217,44,73,12
3221,36,71,12
3229,49,87,16
3251,31,59,12
3253,39,69,16
3257,35,61,12
3259,36,63,12
3271,30,53,8
3299,71,127,36
3301,35,59,8
3307,37,65,8
3313,35,63,16
3319,41,79,16
3323,41,77,12
3329,58,105,24
3331,50,89,18
3343,55,95,20
3347,56,97,24
3359,90,155,48
3361,26,47,8
3371,38,67,12
3373,44,77,16
3389,45,79,16
3391,50,87,14
3407,50,89,20
3413,36,65,8
3433,34,55,8
3449,55,99,24
3457,37,71,16
3461,39,65,12
3463,40,79,24
3467,47,81,18
3469,39,69,8
3491,39,75,18
3499,58,103,24
3511,27,51,8
3517,41,75,14
3527,72,125,36
3529,31,57,8
3533,54,93,16
3539,55,97,24
3541,40,71,16
3547,39,71,12
3557,34,57,8
3559,47,83,16
3571,34,63,12
3581,38,73,12
3583,50,93,20
3593,35,63,8
3607,55,91,16
3613,41,71,8
3617,45,81,16
3623,41,81,16
3631,36,67,10
3637,45,79,16
3643,42,75,14
3659,49,93,24
3671,71,123,32
3673,42,75,18
3677,38,67,12
3691,36,61,12
3697,38,67,8
3701,39,67,8
3709,46,81,16
3719,68,123,32
3727,35,65,10
3733,42,69,12
3739,64,113,24
3761,58,101,24
3767,42,79,16
3769,50,89,16
3779,88,159,48
3793,40,75,16
3797,42,75,12
3803,35,67,12
3821,52,95,24
3823,45,83,18
3833,55,95,16
3847,58,95,16
3851,43,79,18
3853,38,65,8
3863,67,119,32
3877,40,67,8
3881,36,63,8
3889,27,49,8
3907,31,53,8
3911,44,85,16
3917,33,59,15
3919,67,117,30
3923,50,89,18
3929,45,79,16
3931,36,63,12
3943,53,91,16
3947,58,103,24
3967,56,99,16
3989,72,125,32
4001,44,77,16
4003,58,107,24
4007,44,79,16
4013,43,79,12
4019,53,93,24
4021,33,59,8
4027,45,81,12
4049,62,111,30
4051,31,51,8
4057,41,71,12
4073,47,85,16
4079,86,151,40
4091,60,105,24
4093,47,85,24
4099,54,87,18
4111,36,67,10
4127,62,107,24
4129,50,87,16
4133,50,85,16
4139,75,133,36
4153,40,67,8
4157,72,131,32
4159,66,123,28
4177,39,67,12
4201,23,41,8
4211,66,117,30
4217,43,75,16
4219,42,77,12
4229,60,103,24
4231,49,83,12
4241,41,73,16
4243,37,63,8
4253,47,85,12
4259,53,91,24
4261,39,69,12
4271,49,91,20
4273,42,75,18
4283,74,129,36
4289,68,121,32
4297,35,65,8
4327,32,61,12
4337,41,75,12
4339,61,105,24
4349,61,107,24
4357,30,47,8
4363,43,75,12
4373,51,89,16
4391,56,99,24
4397,41,75,15
4409,71,127,36
4421,44,81,16
4423,44,81,16
4441,34,61,6
4447,39,69,12
4451,56,101,24
4457,37,67,8
4463,70,127,30
4481,41,79,16
4483,50,89,16
4493,47,83,16
4507,51,91,18
4513,41,67,16
4517,44,77,12
4519,53,93,16
4523,60,103,24
4547,45,81,12
4549,61,111,24
4561,26,47,12
4567,44,71,8
4583,52,93,16
4591,44,79,20
4597,51,95,12
4603,41,73,8
4621,28,47,8
4637,39,71,12
4639,67,121,24
4643,57,97,24
4649,59,103,24
4651,41,71,12
4657,40,65,8
4663,43,77,16
4673,55,97,16
4679,91,159,48
4691,59,103,24
4703,75,139,36
4721,36,63,12
4723,50,89,24
4729,45,81,16
4733,38,67,12
4751,85,155,40
4759,71,125,32
4783,61,107,20
4787,74,127,36
4789,29,51,8
4793,51,87,16
4799,82,145,42
4801,38,65,10
4813,42,71,12
4817,41,71,16
4831,39,69,12
4861,46,85,16
4871,67,119,32
4877,40,75,12
4889,49,85,16
4903,33,61,12
4909,32,57,8
4919,68,123,32
4931,42,77,18
4933,43,73,16
4937,44,75,12
4943,52,91,20
4951,27,53,8
4957,49,85,12
4967,69,121,32
4969,37,71,16
4973,36,63,8
4987,51,87,12
4993,44,81,16
4999,50,93,20
5003,53,95,18
5009,45,79,16
5011,49,89,12
5021,63,103,20
5023,51,89,12
5039,109,195,60
5051,35,65,12
5059,58,99,24
5077,35,57,8
5081,60,109,24
5087,64,105,24
5099,79,137,36
5101,42,73,14
5107,40,71,8
5113,42,69,16
5119,52,97,22
5147,81,141,36
5153,28,49,8
5167,55,97,20
5171,36,69,12
5179,64,115,24
5189,49,81,16
5197,53,89,14
5209,35,61,8
5227,38,69,12
5231,54,93,20
5233,34,63,12
5237,48,89,16
5261,40,71,10
5273,43,77,12
5279,91,163,48
5281,33,55,8
5297,37,65,9
5303,71,125,32
5309,58,105,24
5323,53,89,12
5333,54,97,16
5347,46,75,12
5351,46,85,16
5381,59,101,24
5387,43,79,12
5393,57,97,16
5399,97,169,48
5407,48,87,18
5413,40,67,12
5417,62,109,24
5419,38,73,12
5431,51,91,16
5437,47,81,14
5441,34,57,8
5443,45,83,18
5449,49,85,12
5471,79,143,36
5477,53,89,16
5479,49,93,16
5483,39,69,12
5501,39,73,16
5503,47,83,16
5507,67,121,30
5519,84,147,40
5521,31,55,8
5527,45,75,8
5531,42,75,12
5557,49,81,8
5563,48,91,16
5569,33,55,8
5573,46,79,8
5581,33,53,6
5591,46,85,16
5623,56,103,16
5639,76,131,32
5641,47,89,16
5647,42,73,10
5651,49,87,18
5653,47,83,16
5657,55,85,16
5659,48,87,12
5669,84,147,40
5683,57,97,18
5689,30,55,8
5693,56,101,16
5701,26,45,8
5711,81,143,40
5717,45,83,16
5737,47,79,12
5741,53,93,24
5743,36,67,10
5749,55,95,16
5779,52,91,18
5783,40,75,16
5791,50,85,12
5801,39,65,8
5807,74,131,30
5813,59,101,24
5821,46,77,12
5827,56,97,12
5839,57,105,20
5843,40,73,12
5849,80,141,36
5851,59,105,24
5857,53,87,16
5861,36,65,8
5867,43,77,18
5869,46,75,8
5879,97,165,48
5881,43,71,8
5897,36,63,9
5903,73,125,30
5923,35,65,12
5927,72,129,32
5939,92,163,48
5953,48,75,8
5981,39,75,12
5987,34,61,12
6007,31,51,8
6011,50,89,18
6029,65,115,24
6037,50,85,12
6043,51,87,16
6047,100,175,48
6053,36,61,8
6067,52,91,12
6073,37,67,18
6079,68,117,28
6089,64,113,32
6091,35,57,6
6101,49,93,16
6113,36,63,8
6121,33,53,8
6131,57,99,24
6133,45,71,8
6143,56,103,24
6151,38,69,8
6163,41,71,12
6173,63,113,24
6197,44,71,12
6199,70,121,24
6203,62,109,24
6211,35,63,8
6217,28,47,6
6221,53,89,16
6229,58,103,16
6247,56,93,16
6257,46,81,16
6263,68,123,32
6269,73,127,32
6271,63,115,24
6277,58,95,16
6287,57,101,20
6299,105,185,54
6301,41,69,8
6311,54,93,16
6317,69,123,24
6323,66,113,24
6329,43,73,16
6337,32,51,6
6343,53,97,16
6353,43,79,12
6359,70,123,32
6361,33,57,12
6367,50,93,12
6373,36,63,16
6379,59,107,24
6389,61,109,24
6397,40,73,13
6421,47,83,12
6427,29,51,6
6449,53,95,24
6451,40,65,8
6469,31,59,8
6473,57,101,16
6481,25,45,8
6491,38,67,12
6521,37,67,8
6529,40,71,8
6547,48,79,12
6551,99,175,48
6553,51,85,16
6563,41,75,12
6569,55,99,24
6571,45,75,12
6577,56,105,16
6581,36,63,8
6599,97,173,48
6607,58,99,20
6619,44,81,12
6637,38,61,10
6653,39,73,10
6659,77,131,36
6661,35,59,12
6673,48,79,12
6679,51,91,16
6689,45,85,16
6691,42,79,12
6701,28,49,8
6703,46,81,12
6709,57,97,16
6719,113,201,56
6733,49,83,16
6737,41,69,8
6761,63,109,24
6763,53,95,16
6779,59,105,24
6781,50,91,16
6791,44,77,16
6793,37,65,12
6803,78,137,36
6823,44,81,24
6827,46,79,12
6829,51,91,16
6833,46,77,16
6841,31,51,8
6857,56,99,16
6863,87,149,40
6869,50,83,16
6871,42,75,8
6883,50,91,20
6899,85,147,36
6907,48,85,12
6911,77,133,36
6917,30,57,8
6947,51,91,18
6949,47,85,12
6959,83,143,40
6961,47,75,8
6967,49,89,16
6971,62,109,24
6977,32,55,8
6983,57,109,24
6991,68,117,20
6997,46,77,16
7001,42,79,12
7013,50,89,16
7019,100,173,48
7027,47,87,12
7039,71,123,32
7043,36,67,12
7057,31,51,8
7069,51,93,16
7079,70,121,32
7103,75,135,28
7109,62,107,24
7121,39,69,8
7127,90,153,40
7129,47,81,16
7151,49,93,20
7159,60,105,16
7177,49,77,8
7187,44,81,12
7193,50,87,16
7207,62,105,16
7211,32,61,12
7213,44,79,16
7219,59,105,18
7229,47,83,16
7237,58,97,16
7243,48,85,24
7247,56,99,20
7253,68,115,24
7283,49,81,12
7297,42,71,8
7307,80,139,36
7309,50,91,16
7321,31,51,8
7331,64,109,24
7333,53,89,12
7349,80,139,36
7351,35,63,12
7369,65,117,20
7393,36,63,16
7411,47,81,12
7417,35,57,12
7433,64,113,24
7451,65,111,30
7457,54,85,16
7459,42,75,12
7477,39,73,16
7481,50,87,16
7487,91,155,42
7489,47,83,16
7499,71,129,30
7507,48,73,6
7517,55,101,16
7523,86,147,36
7529,46,85,16
7537,42,73,12
7541,47,85,12
7547,60,103,24
7549,45,81,12
7559,123,217,64
7561,35,57,8
7573,48,79,12
7577,41,77,12
7583,66,119,24
7589,72,125,32
7591,53,87,16
7603,43,75,18
7607,51,87,16
7621,43,73,18
7639,45,85,16
7643,81,141,36
7649,79,135,36
7669,45,79,16
7673,31,57,8
7681,38,65,8
7687,46,81,12
7691,46,81,12
7699,85,145,36
7703,58,101,24
7717,56,93,8
7723,38,69,12
7727,88,149,40
7741,46,83,12
7753,32,57,16
7757,41,69,12
7759,54,91,20
7789,55,95,16
7793,42,75,12
7817,48,81,12
7823,55,101,20
7829,74,131,32
7841,38,69,8
7853,80,135,32
7867,46,83,12
7873,52,99,24
7877,50,85,16
7879,58,97,16
7883,68,117,24
7901,48,89,12
7907,40,75,12
7919,116,201,60
7927,42,71,8
7933,51,87,12
7937,68,119,30
7949,64,113,24
7951,62,109,20
7963,47,87,16
