N,"T(N,5)"
2611,1580
2612,1480
2613,5910
2614,740
2615,1630
2616,9530
2617,430
2618,18130
2619,5100
2620,7050
2621,420
2622,12910
2623,1900
2624,9210
2625,20360
2626,3690
2627,1870
2628,11910
2629,1900
2630,3400
2631,1260
2632,12990
2633,280
2634,2730
2635,8420
2636,1740
2637,3200
2638,1070
2639,9780
2640,57310
2641,1570
2642,620
2643,1150
2644,1810
2645,3970
2646,22480
2647,250
2648,2850
2649,1310
2650,8170
2651,1880
2652,25020
2653,1650
2654,740
2655,11940
2656,6080
2657,250
2658,2440
2659,500
2660,31360
2661,1200
2662,3130
2663,520
2664,21410
2665,7410
2666,3760
2667,5600
2668,7850
2669,1680
2670,10170
2671,340
2672,4510
2673,10510
2674,3500
2675,3840
2676,5120
2677,380
2678,3750
2679,6200
2680,12020
2681,1930
2682,6020
2683,390
2684,8380
2685,5470
2686,4020
2687,610
2688,31990
2689,330
2690,3340
2691,14100
2692,1570
2693,360
2694,2890
2695,17370
2696,3170
2697,6310
2698,4420
2699,660
2700,43770
2701,1390
2702,3580
2703,6330
2704,10260
2705,1480
2706,11400
2707,310
2708,1550
2709,12980
2710,3100
2711,380
2712,9290
2713,340
2714,3950
2715,5580
2716,7730
2717,9560
2718,5870
2719,480
2720,26750
2721,1050
2722,730
2723,1950
2724,5660
2725,3720
2726,4030
2727,5590
2728,14780
2729,580
2730,47060
2731,230
2732,1500
2733,1220
2734,900
2735,1950
2736,33640
2737,8640
2738,1700
2739,5740
2740,6610
2741,280
2742,2480
2743,1810
2744,11565
2745,11690
2746,680
2747,1810
2748,5710
2749,480
2750,14470
2751,5810
2752,8700
2753,490
2754,16460
2755,8080
2756,8060
2757,1310
2758,4040
2759,2310
2760,38070
2761,1750
2762,560
2763,2750
2764,1640
2765,7520
2766,2550
2767,380
2768,4730
2769,6380
2770,3680
2771,2350
2772,54590
2773,1940
2774,3620
2775,12220
2776,2550
2777,290
2778,2390
2779,1520
2780,7210
2781,5290
2782,4190
2783,4390
2784,20300
2785,1500
2786,3500
2787,1240
2788,8420
2789,460
2790,24860
2791,320
2792,3170
2793,13470
2794,3640
2795,8440
2796,5090
2797,280
2798,940
2799,3290
2800,41410
2801,280
2802,2610
2803,370
2804,2090
2805,25680
2806,3950
2807,2080
2808,37290
2809,690
2810,3040
2811,1230
2812,8030
2813,1910
2814,11730
2815,1740
2816,12340
2817,2600
2818,770
2819,480
2820,22500
2821,7740
2822,3620
2823,1100
2824,2760
2825,3600
2826,5980
2827,1820
2828,7890
2829,6290
2830,3500
2831,2140
2832,14470
2833,380
2834,4240
2835,30440
2836,1600
2837,420
2838,12170
2839,1980
2840,12380
2841,1200
2842,8880
2843,390
2844,12440
2845,1540
2846,850
2847,6730
2848,7090
2849,9270
2850,25450
2851,360
2852,8270
2853,2940
2854,960
2855,2080
2856,41860
2857,250
2858,820
2859,1330
2860,33250
2861,400
2862,10340
2863,1600
2864,4120
2865,5170
2866,750
2867,1890
2868,5320
2869,1890
2870,15580
2871,14180
2872,2820
2873,3890
2874,2710
2875,7210
2876,1760
2877,5760
2878,990
2879,730
2880,53500
2881,1570
2882,3500
2883,2840
2884,7540
2885,1510
2886,12190
2887,410
2888,7070
2889,4940
2890,7720
2891,4230
2892,5280
2893,1620
2894,770
2895,5330
2896,4760
2897,530
2898,27480
2899,1950
2900,16560
2901,1220
2902,790
2903,520
2904,22310
2905,7390
2906,790
2907,13610
2908,1740
2909,420
2910,11190
2911,2170
2912,29640
2913,1170
2914,4100
2915,8400
2916,12640
2917,230
2918,780
2919,5840
2920,12440
2921,1830
2922,2770
2923,2080
2924,9000
2925,28340
2926,17610
2927,360
2928,14310
2929,1610
2930,3090
2931,1120
2932,1690
2933,1780
2934,5900
2935,1750
2936,3240
2937,6290
2938,4210
2939,650
2940,48800
2941,1730
2942,730
2943,5540
2944,10650
2945,8080
2946,2470
2947,1460
2948,8240
2949,1320
2950,7950
2951,2140
2952,21890
2953,310
2954,3490
2955,5200
2956,1710
2957,450
2958,13710
2959,2320
2960,20240
2961,13560
2962,850
2963,470
2964,26130
2965,1620
2966,900
2967,6550
2968,13930
2969,580
2970,42830
2971,200
2972,1430
2973,1280
2974,930
2975,18640
2976,19970
2977,1580
2978,690
2979,2800
2980,6770
2981,1790
2982,11430
2983,1710
2984,2980
2985,4980
2986,860
2987,2130
2988,12990
2989,4080
2990,16730
2991,1410
2992,22280
2993,1560
2994,2600
2995,1660
2996,8340
2997,8020
2998,910
2999,610
3000,33620
