N,"T(N,5)"
699,1060
700,11860
701,370
702,8240
703,1370
704,6200
705,3840
706,490
707,1300
708,3990
709,270
710,2630
711,2350
712,2420
713,1540
714,9040
715,6000
716,1220
717,960
718,720
719,500
720,21890
721,1150
722,1290
723,840
724,1310
725,2730
726,4380
727,330
728,10390
729,2150
730,2440
731,1420
732,4050
733,270
734,710
735,9020
736,4770
737,1370
738,4540
739,310
740,5520
741,4710
742,2810
743,300
744,7370
745,1080
746,640
747,2340
748,6610
749,1500
750,7060
751,250
752,3500
753,990
754,3190
755,1530
756,15880
757,210
758,610
759,4930
760,9490
761,200
762,1940
763,1300
764,1300
765,9420
766,600
767,1680
768,6900
769,320
770,11540
771,850
772,1240
773,320
774,4870
775,3090
776,2520
777,4560
778,750
779,1740
780,17530
781,1450
782,3070
783,4110
784,7440
785,1020
786,1730
787,230
788,1300
789,1060
790,2840
791,1670
792,16700
793,1100
794,520
795,4090
796,1300
797,380
798,9560
799,1600
800,10240
801,1980
802,580
803,1360
804,4320
805,5970
806,2880
807,930
808,2420
809,380
810,11010
811,280
812,6070
813,1040
814,3020
815,1440
816,11560
817,1310
818,670
819,10480
820,5340
821,240
822,2000
823,310
824,2560
825,9700
826,2970
827,340
828,9770
829,240
830,2750
831,1100
832,6860
833,3340
834,2200
835,1500
836,6690
837,4100
838,750
839,520
840,28320
841,500
842,450
843,820
844,1240
845,2940
846,4730
847,3020
848,3390
849,1000
850,6140
851,1420
852,4220
853,280
854,2900
855,9690
856,2270
857,330
858,9610
859,300
860,5680
861,4350
862,640
863,430
864,13700
865,1110
866,650
867,2310
868,6090
869,1630
870,8550
871,1350
872,2290
873,2290
874,3100
875,5110
876,4190
877,250
878,670
879,1180
880,15090
881,370
882,10490
883,300
884,6450
885,3970
886,540
887,350
888,7550
889,1290
890,2660
891,5950
892,1330
893,1500
894,2240
895,1510
896,8560
897,5040
898,790
899,1830
900,20250
901,1410
902,2920
903,4490
904,2180
905,1100
906,1880
907,270
908,1460
909,2530
910,12620
911,380
912,11790
913,1360
914,580
915,4180
916,1470
917,1530
918,8810
919,320
920,10120
921,1030
922,760
923,1810
924,19430
925,2720
926,580
927,2410
928,5110
929,350
