p,T(p,5)
2,20
3,40
5,60
7,70
11,90
13,80
17,100
19,110
23,130
29,130
31,120
37,100
41,130
43,130
47,170
53,160
59,190
61,110
67,140
71,200
73,120
79,190
83,200
89,210
97,160
101,160
103,190
107,210
109,170
113,160
127,170
131,220
137,170
139,230
149,220
151,190
157,160
163,170
167,280
173,200
179,290
181,180
191,240
193,150
197,230
199,240
211,140
223,260
227,240
229,230
233,240
239,330
241,160
251,320
257,180
263,300
269,300
271,240
277,180
281,160
283,220
293,260
307,250
311,280
313,200
317,220
331,180
337,220
347,250
349,290
353,180
359,390
367,260
373,250
379,250
383,330
389,310
397,180
401,210
409,200
419,390
421,130
431,360
433,240
439,340
443,230
449,330
457,190
461,300
463,230
467,340
479,420
487,240
491,270
499,260
